Metadata variable,Metadata
dataType,AQ curves derived parameters
additionalDataIncluded,no
instrumentOutputStatus,2
plantType,C3
leafType,broadleaf
requiredProtocols,Parameters estimated according to Busch et al. (2024)
mesophyllConductanceType,assumed infinite
leafStatus,attached leaf
leafAreaBasis,one-sided area
leafAreaMethod,single leaf fills chamber of known area
kineticConstants,Refer to Busch et al. (2024)
growthEnvironment,glasshouse
experimentalTreatment,none 
plantAge,multiple
leafAge,mature
canopyPosition,top of canopy
canopyHeight,no
lightExposure,shade
