Metadata variable,Metadata
dataType,AQ curves
additionalDataIncluded,no
instrumentOutputStatus,2
plantType,C3
leafType,graminoid
requiredProtocols,Available in: https://github.com/AaronVelez/LI-6800_Lamp/blob/main/Software/A-PPFD_Curve.py
mesophyllConductanceType,assumed infinite
leafStatus,attached leaf
leafAreaBasis,one-sided area
leafAreaMethod,single leaf fills chamber of known area
kineticConstants,NA
growthEnvironment,glasshouse
experimentalTreatment,none 
plantAge,multiple
leafAge,mature
canopyPosition,top of canopy
canopyHeight,no
lightExposure,shade
